试验ID：1
试验名称：金属材料室温拉伸试验
批号: /	
编号: /	
材质: /	
规格: /	
试验日期: 2021/10/20	
形状: 圆材	
标距倍率: 0	
尺寸1: 0.0	
尺寸2: 0.0	
尺寸3: 0.0	
试样尺寸: 0	
面积: 0.0	
原始标距: 50.0	
引伸计标距: 50.0	
平行长度: 50.0	
试验温度: 20.0	
试验人: /	
断后标距: 0	
断后面积: 0	
上屈服力: 3.064	
上屈服强度: 31	
下屈服力: 2.528	
下屈服强度: 25	
规定非比例延伸力: 0	
规定非比例延伸强度: 0	
规定非比例延伸力1: 0	
规定非比例延伸强度1: 0	
规定总延伸力: 0	
规定总延伸强度: 0	
最大力: 6.440	
抗拉强度: 64	
最大力非比例伸长率: 0	
最大力总伸长率: 0	
断后伸长率: 0	
断裂总伸长率: 0	
断面收缩率: 0	
屈服点延伸率: 0	
弹性模量: 657.76	
屈强比: 0.39	
强屈比: 2.56	
屈屈比: 0.125	
自定义1: 0	
自定义2: 0	
自定义3: 0	
自定义4: 0	

=========================曲线数据==========================
数据量：13547
试验力			变形1			变形2			变形3			位移			位移1			位移2			位移3			位移4			应力			应变			时间
3.8550		-0.0018		-0.0004		-0.0004		1.3441		-1.0022		-1.3248		-0.0000		-0.0000		38.5500		-0.0036		40.4207
3.8550		-0.0018		-0.0004		-0.0004		1.3441		-1.0022		-1.3248		-0.0000		-0.0000		38.5500		-0.0036		40.4407
3.8600		-0.0018		-0.0004		-0.0002		1.3453		-1.0022		-1.3248		-0.0000		-0.0000		38.6000		-0.0036		40.4607
3.8600		-0.0018		-0.0004		-0.0002		1.3465		-1.0022		-1.3248		-0.0000		-0.0000		38.6000		-0.0036		40.4807
3.8740		-0.0019		-0.0004		-0.0002		1.3465		-1.0022		-1.3248		-0.0000		-0.0000		38.7400		-0.0038		40.5007
3.8740		-0.0019		-0.0004		-0.0002		1.3477		-1.0022		-1.3248		-0.0000		-0.0000		38.7400		-0.0038		40.5207
3.8910		-0.0018		-0.0004		-0.0002		1.3477		-1.0022		-1.3248		-0.0000		-0.0000		38.9100		-0.0036		40.5407
3.8910		-0.0018		-0.0004		-0.0002		1.3490		-1.0022		-1.3248		-0.0000		-0.0000		38.9100		-0.0036		40.5607
3.9090		-0.0016		-0.0004		-0.0002		1.3490		-1.0022		-1.3248		-0.0000		-0.0000		39.0900		-0.0032		40.5807
3.9090		-0.0016		-0.0004		-0.0002		1.3502		-1.0022		-1.3248		-0.0000		-0.0000		39.0900		-0.0032		40.6007
3.9270		-0.0013		-0.0004		-0.0002		1.3502		-1.0022		-1.3248		-0.0000		-0.0000		39.2700		-0.0026		40.6207
3.9270		-0.0013		-0.0004		-0.0002		1.3514		-1.0022		-1.3248		-0.0000		-0.0000		39.2700		-0.0026		40.6407
3.9450		-0.0011		-0.0004		-0.0004		1.3526		-1.0022		-1.3348		-0.0000		-0.0000		39.4500		-0.0022		40.6607
3.9450		-0.0011		-0.0004		-0.0004		1.3526		-1.0022		-1.3348		-0.0000		-0.0000		39.4500		-0.0022		40.6807
3.9640		-0.0009		-0.0004		-0.0004		1.3538		-1.0122		-1.3348		-0.0000		-0.0000		39.6400		-0.0018		40.7007
3.9640		-0.0009		-0.0004		-0.0004		1.3538		-1.0122		-1.3348		-0.0000		-0.0000		39.6400		-0.0018		40.7207
3.9830		-0.0009		-0.0008		-0.0004		1.3550		-1.0122		-1.3348		-0.0000		-0.0000		39.8300		-0.0018		40.7407
3.9830		-0.0009		-0.0008		-0.0004		1.3550		-1.0122		-1.3348		-0.0000		-0.0000		39.8300		-0.0018		40.7607
4.0020		-0.0009		-0.0008		-0.0004		1.3562		-1.0122		-1.3348		-0.0000		-0.0000		40.0200		-0.0018		40.7807
4.0020		-0.0009		-0.0008		-0.0004		1.3562		-1.0122		-1.3348		-0.0000		-0.0000		40.0200		-0.0018		40.8007
4.0210		-0.0011		-0.0008		-0.0004		1.3574		-1.0122		-1.3348		-0.0000		-0.0000		40.2100		-0.0022		40.8207
4.0210		-0.0011		-0.0008		-0.0004		1.3574		-1.0122		-1.3348		-0.0000		-0.0000		40.2100		-0.0022		40.8407
4.0400		-0.0013		-0.0008		-0.0004		1.3587		-1.0122		-1.3348		-0.0000		-0.0000		40.4000		-0.0026		40.8607
4.0400		-0.0013		-0.0008		-0.0004		1.3587		-1.0122		-1.3348		-0.0000		-0.0000		40.4000		-0.0026		40.8807
4.0600		-0.0015		-0.0008		-0.0004		1.3599		-1.0122		-1.3348		-0.0000		-0.0000		40.6000		-0.0030		40.9007
4.0600		-0.0015		-0.0008		-0.0004		1.3611		-1.0122		-1.3348		-0.0000		-0.0000		40.6000		-0.0030		40.9207
4.0790		-0.0013		-0.0008		-0.0004		1.3611		-1.0122		-1.3348		-0.0000		-0.0000		40.7900		-0.0026		40.9407
4.0790		-0.0013		-0.0008		-0.0004		1.3623		-1.0122		-1.3448		-0.0000		-0.0000		40.7900		-0.0026		40.9607
4.0980		-0.0013		-0.0008		-0.0004		1.3623		-1.0122		-1.3448		-0.0000		-0.0000		40.9800		-0.0026		40.9807
4.0980		-0.0013		-0.0008		-0.0004		1.3635		-1.0122		-1.3448		-0.0000		-0.0000		40.9800		-0.0026		41.0007
4.1170		-0.0016		-0.0008		-0.0004		1.3635		-1.0122		-1.3448		-0.0000		-0.0000		41.1700		-0.0032		41.0207
4.1170		-0.0016		-0.0008		-0.0004		1.3647		-1.0122		-1.3448		-0.0000		-0.0000		41.1700		-0.0032		41.0407
4.1360		-0.0019		-0.0008		-0.0004		1.3659		-1.0122		-1.3448		-0.0000		-0.0000		41.3600		-0.0038		41.0607
4.1360		-0.0019		-0.0008		-0.0004		1.3659		-1.0122		-1.3448		-0.0000		-0.0000		41.3600		-0.0038		41.0807
4.1540		-0.0022		-0.0008		-0.0004		1.3671		-1.0222		-1.3448		-0.0000		-0.0000		41.5400		-0.0044		41.1007
4.1540		-0.0022		-0.0008		-0.0004		1.3671		-1.0222		-1.3448		-0.0000		-0.0000		41.5400		-0.0044		41.1208
4.1720		-0.0023		-0.0010		-0.0004		1.3683		-1.0222		-1.3448		-0.0000		-0.0000		41.7200		-0.0046		41.1408
4.1720		-0.0023		-0.0010		-0.0004		1.3683		-1.0222		-1.3448		-0.0000		-0.0000		41.7200		-0.0046		41.1608
4.1890		-0.0023		-0.0010		-0.0004		1.3696		-1.0222		-1.3448		-0.0000		-0.0000		41.8900		-0.0046		41.1808
4.1890		-0.0023		-0.0010		-0.0004		1.3696		-1.0222		-1.3448		-0.0000		-0.0000		41.8900		-0.0046		41.2008
4.2060		-0.0023		-0.0010		-0.0004		1.3708		-1.0222		-1.3448		-0.0000		-0.0000		42.0600		-0.0046		41.2208
4.2060		-0.0023		-0.0010		-0.0004		1.3708		-1.0222		-1.3549		-0.0000		-0.0000		42.0600		-0.0046		41.2408
4.2230		-0.0020		-0.0010		-0.0004		1.3720		-1.0222		-1.3549		-0.0000		-0.0000		42.2300		-0.0040		41.2608
4.2230		-0.0020		-0.0010		-0.0004		1.3732		-1.0222		-1.3549		-0.0000		-0.0000		42.2300		-0.0040		41.2808
4.2390		-0.0016		-0.0010		-0.0004		1.3732		-1.0222		-1.3549		-0.0000		-0.0000		42.3900		-0.0032		41.3008
4.2390		-0.0016		-0.0010		-0.0004		1.3744		-1.0222		-1.3549		-0.0000		-0.0000		42.3900		-0.0032		41.3208
4.2500		-0.0013		-0.0010		-0.0004		1.3744		-1.0222		-1.3549		-0.0000		-0.0000		42.5000		-0.0026		41.3408
4.2500		-0.0013		-0.0010		-0.0004		1.3756		-1.0222		-1.3549		-0.0000		-0.0000		42.5000		-0.0026		41.3608
4.2570		-0.0011		-0.0010		-0.0004		1.3756		-1.0222		-1.3549		-0.0000		-0.0000		42.5700		-0.0022		41.3808
4.2570		-0.0011		-0.0010		-0.0004		1.3768		-1.0222		-1.3549		-0.0000		-0.0000		42.5700		-0.0022		41.4008
4.2650		-0.0009		-0.0010		-0.0004		1.3768		-1.0222		-1.3549		-0.0000		-0.0000		42.6500		-0.0018		41.4208
4.2650		-0.0009		-0.0010		-0.0004		1.3780		-1.0222		-1.3549		-0.0000		-0.0000		42.6500		-0.0018		41.4408
4.2760		-0.0006		-0.0010		-0.0004		1.3793		-1.0222		-1.3549		-0.0000		-0.0000		42.7600		-0.0012		41.4608
4.2760		-0.0006		-0.0010		-0.0004		1.3793		-1.0222		-1.3549		-0.0000		-0.0000		42.7600		-0.0012		41.4808
4.2880		-0.0005		-0.0012		-0.0004		1.3805		-1.0222		-1.3549		-0.0000		-0.0000		42.8800		-0.0010		41.5008
4.2880		-0.0005		-0.0012		-0.0004		1.3805		-1.0222		-1.3549		-0.0000		-0.0000		42.8800		-0.0010		41.5208
4.3010		-0.0004		-0.0012		-0.0004		1.3805		-1.0323		-1.3549		-0.0000		-0.0000		43.0100		-0.0008		41.5408
4.3010		-0.0004		-0.0012		-0.0004		1.3817		-1.0323		-1.3649		-0.0000		-0.0000		43.0100		-0.0008		41.5608
4.3150		-0.0002		-0.0012		-0.0004		1.3829		-1.0323		-1.3649		-0.0000		-0.0000		43.1500		-0.0004		41.5808
4.3150		-0.0002		-0.0012		-0.0004		1.3829		-1.0323		-1.3649		-0.0000		-0.0000		43.1500		-0.0004		41.6008
4.3300		-0.0002		-0.0012		-0.0004		1.3841		-1.0323		-1.3649		-0.0000		-0.0000		43.3000		-0.0004		41.6208
4.3300		-0.0002		-0.0012		-0.0004		1.3841		-1.0323		-1.3649		-0.0000		-0.0000		43.3000		-0.0004		41.6408
4.3440		-0.0004		-0.0012		-0.0004		1.3853		-1.0323		-1.3649		-0.0000		-0.0000		43.4400		-0.0008		41.6608
4.3440		-0.0004		-0.0012		-0.0004		1.3853		-1.0323		-1.3649		-0.0000		-0.0000		43.4400		-0.0008		41.6808
4.3570		-0.0004		-0.0012		-0.0004		1.3865		-1.0323		-1.3649		-0.0000		-0.0000		43.5700		-0.0008		41.7008
4.3570		-0.0004		-0.0012		-0.0004		1.3877		-1.0323		-1.3649		-0.0000		-0.0000		43.5700		-0.0008		41.7208
4.3700		-0.0002		-0.0012		-0.0004		1.3877		-1.0323		-1.3649		-0.0000		-0.0000		43.7000		-0.0004		41.7408
4.3700		-0.0002		-0.0012		-0.0004		1.3890		-1.0323		-1.3649		-0.0000		-0.0000		43.7000		-0.0004		41.7608
4.3820		-0.0001		-0.0010		-0.0004		1.3890		-1.0323		-1.3649		-0.0000		-0.0000		43.8200		-0.0002		41.7808
4.3820		-0.0001		-0.0010		-0.0004		1.3902		-1.0323		-1.3649		-0.0000		-0.0000		43.8200		-0.0002		41.8008
4.3940		0.0000		-0.0010		-0.0004		1.3902		-1.0323		-1.3749		-0.0000		-0.0000		43.9400		0.0000		41.8208
4.3940		0.0000		-0.0010		-0.0004		1.3914		-1.0323		-1.3749		-0.0000		-0.0000		43.9400		0.0000		41.8408
4.4050		0.0002		-0.0008		-0.0004		1.3914		-1.0323		-1.3749		-0.0000		-0.0000		44.0500		0.0004		41.8608
4.4050		0.0002		-0.0008		-0.0004		1.3926		-1.0323		-1.3749		-0.0000		-0.0000		44.0500		0.0004		41.8808
4.4150		0.0003		-0.0008		-0.0004		1.3938		-1.0323		-1.3749		-0.0000		-0.0000		44.1500		0.0006		41.9008
4.4150		0.0003		-0.0008		-0.0004		1.3938		-1.0423		-1.3749		-0.0000		-0.0000		44.1500		0.0006		41.9208
4.4170		0.0004		-0.0008		-0.0004		1.3950		-1.0423		-1.3749		-0.0000		-0.0000		44.1700		0.0008		41.9408
4.4170		0.0004		-0.0008		-0.0004		1.3950		-1.0423		-1.3749		-0.0000		-0.0000		44.1700		0.0008		41.9608
4.3730		0.0003		-0.0004		-0.0004		1.3962		-1.0423		-1.3749		-0.0000		-0.0000		43.7300		0.0006		41.9808
4.3730		0.0003		-0.0004		-0.0004		1.3962		-1.0423		-1.3749		-0.0000		-0.0000		43.7300		0.0006		42.0008
4.3250		0.0002		-0.0004		-0.0004		1.3974		-1.0423		-1.3749		-0.0000		-0.0000		43.2500		0.0004		42.0208
4.3250		0.0002		-0.0004		-0.0004		1.3974		-1.0423		-1.3749		-0.0000		-0.0000		43.2500		0.0004		42.0408
4.3180		0.0001		-0.0004		-0.0004		1.3986		-1.0423		-1.3749		-0.0000		-0.0000		43.1800		0.0002		42.0608
4.3180		0.0001		-0.0004		-0.0004		1.3986		-1.0423		-1.3749		-0.0000		-0.0000		43.1800		0.0002		42.0808
4.3210		0.0000		-0.0008		-0.0004		1.3999		-1.0423		-1.3850		-0.0000		-0.0000		43.2100		0.0000		42.1008
4.3210		0.0000		-0.0008		-0.0004		1.4011		-1.0523		-1.3850		-0.0000		-0.0000		43.2100		0.0000		42.1208
4.3280		-0.0001		-0.0008		-0.0004		1.4011		-1.0523		-1.3850		-0.0000		-0.0000		43.2800		-0.0002		42.1408
4.3280		-0.0001		-0.0008		-0.0004		1.4023		-1.0523		-1.3850		-0.0000		-0.0000		43.2800		-0.0002		42.1608
4.3380		-0.0004		-0.0008		-0.0004		1.4023		-1.0523		-1.3850		-0.0000		-0.0000		43.3800		-0.0008		42.1808
4.3380		-0.0004		-0.0008		-0.0004		1.4035		-1.0523		-1.3850		-0.0000		-0.0000		43.3800		-0.0008		42.2008
4.3480		-0.0008		-0.0004		-0.0004		1.4035		-1.0523		-1.3850		-0.0000		-0.0000		43.4800		-0.0016		42.2208
4.3480		-0.0008		-0.0004		-0.0004		1.4047		-1.0523		-1.3850		-0.0000		-0.0000		43.4800		-0.0016		42.2408
4.3590		-0.0009		-0.0004		-0.0004		1.4047		-1.0523		-1.3850		-0.0000		-0.0000		43.5900		-0.0018		42.2608
4.3590		-0.0009		-0.0004		-0.0004		1.4059		-1.0523		-1.3850		-0.0000		-0.0000		43.5900		-0.0018		42.2808
4.3700		-0.0009		-0.0004		-0.0002		1.4071		-1.0523		-1.3850		-0.0000		-0.0000		43.7000		-0.0018		42.3008
4.3700		-0.0009		-0.0004		-0.0002		1.4071		-1.0523		-1.3850		-0.0000		-0.0000		43.7000		-0.0018		42.3208
4.3810		-0.0006		-0.0004		-0.0002		1.4083		-1.0523		-1.3850		-0.0000		-0.0000		43.8100		-0.0012		42.3408
4.3810		-0.0006		-0.0004		-0.0002		1.4083		-1.0523		-1.3850		-0.0000		-0.0000		43.8100		-0.0012		42.3608
4.3920		-0.0004		-0.0004		-0.0002		1.4096		-1.0523		-1.3950		-0.0000		-0.0000		43.9200		-0.0008		42.3808
4.3920		-0.0004		-0.0004		-0.0002		1.4096		-1.0523		-1.3950		-0.0000		-0.0000		43.9200		-0.0008		42.4008
4.4040		-0.0004		-0.0004		-0.0002		1.4108		-1.0523		-1.3950		-0.0000		-0.0000		44.0400		-0.0008		42.4208
4.4040		-0.0004		-0.0004		-0.0002		1.4108		-1.0623		-1.3950		-0.0000		-0.0000		44.0400		-0.0008		42.4408
4.4150		-0.0006		-0.0004		-0.0004		1.4120		-1.0623		-1.3950		-0.0000		-0.0000		44.1500		-0.0012		42.4608
4.4150		-0.0006		-0.0004		-0.0004		1.4120		-1.0623		-1.3950		-0.0000		-0.0000		44.1500		-0.0012		42.4808
4.4250		-0.0009		-0.0004		-0.0004		1.4132		-1.0623		-1.3950		-0.0000		-0.0000		44.2500		-0.0018		42.5008
4.4250		-0.0009		-0.0004		-0.0004		1.4144		-1.0623		-1.3950		-0.0000		-0.0000		44.2500		-0.0018		42.5208
4.4370		-0.0009		-0.0004		-0.0004		1.4144		-1.0623		-1.3950		-0.0000		-0.0000		44.3700		-0.0018		42.5408
4.4370		-0.0009		-0.0004		-0.0004		1.4156		-1.0623		-1.3950		-0.0000		-0.0000		44.3700		-0.0018		42.5608
4.4480		-0.0008		-0.0004		-0.0004		1.4156		-1.0623		-1.3950		-0.0000		-0.0000		44.4800		-0.0016		42.5808
4.4480		-0.0008		-0.0004		-0.0004		1.4168		-1.0623		-1.3950		-0.0000		-0.0000		44.4800		-0.0016		42.6008
4.4540		-0.0008		-0.0004		-0.0004		1.4168		-1.0623		-1.3950		-0.0000		-0.0000		44.5400		-0.0016		42.6208
4.4540		-0.0008		-0.0004		-0.0004		1.4180		-1.0623		-1.3950		-0.0000		-0.0000		44.5400		-0.0016		42.6408
4.4540		-0.0009		-0.0004		-0.0004		1.4180		-1.0623		-1.3950		-0.0000		-0.0000		44.5400		-0.0018		42.6608
4.4540		-0.0009		-0.0004		-0.0004		1.4193		-1.0623		-1.3950		-0.0000		-0.0000		44.5400		-0.0018		42.6808
4.4560		-0.0011		-0.0004		-0.0004		1.4205		-1.0623		-1.4050		-0.0000		-0.0000		44.5600		-0.0022		42.7008
4.4560		-0.0011		-0.0004		-0.0004		1.4205		-1.0623		-1.4050		-0.0000		-0.0000		44.5600		-0.0022		42.7208
4.4630		-0.0013		-0.0004		-0.0004		1.4217		-1.0623		-1.4050		-0.0000		-0.0000		44.6300		-0.0026		42.7408
4.4630		-0.0013		-0.0004		-0.0004		1.4217		-1.0623		-1.4050		-0.0000		-0.0000		44.6300		-0.0026		42.7608
4.4720		-0.0013		-0.0002		-0.0004		1.4229		-1.0623		-1.4050		-0.0000		-0.0000		44.7200		-0.0026		42.7808
4.4720		-0.0013		-0.0002		-0.0004		1.4229		-1.0724		-1.4050		-0.0000		-0.0000		44.7200		-0.0026		42.8008
4.4810		-0.0013		-0.0002		-0.0004		1.4241		-1.0724		-1.4050		-0.0000		-0.0000		44.8100		-0.0026		42.8208
4.4810		-0.0013		-0.0002		-0.0004		1.4241		-1.0724		-1.4050		-0.0000		-0.0000		44.8100		-0.0026		42.8408
4.4900		-0.0013		-0.0002		-0.0004		1.4253		-1.0724		-1.4050		-0.0000		-0.0000		44.9000		-0.0026		42.8608
4.4900		-0.0013		-0.0002		-0.0004		1.4253		-1.0724		-1.4050		-0.0000		-0.0000		44.9000		-0.0026		42.8808
4.5000		-0.0013		0.0000		-0.0004		1.4265		-1.0724		-1.4050		-0.0000		-0.0000		45.0000		-0.0026		42.9008
4.5000		-0.0013		0.0000		-0.0004		1.4265		-1.0724		-1.4050		-0.0000		-0.0000		45.0000		-0.0026		42.9208
4.5100		-0.0013		0.0000		-0.0004		1.4277		-1.0724		-1.4050		-0.0000		-0.0000		45.1000		-0.0026		42.9408
4.5100		-0.0013		0.0000		-0.0004		1.4289		-1.0724		-1.4151		-0.0000		-0.0000		45.1000		-0.0026		42.9608
4.5210		-0.0013		0.0000		-0.0004		1.4289		-1.0724		-1.4151		-0.0000		-0.0000		45.2100		-0.0026		42.9808
4.5210		-0.0013		0.0000		-0.0004		1.4302		-1.0724		-1.4151		-0.0000		-0.0000		45.2100		-0.0026		43.0008
4.5330		-0.0013		0.0000		-0.0004		1.4302		-1.0724		-1.4151		-0.0000		-0.0000		45.3300		-0.0026		43.0208
4.5330		-0.0013		0.0000		-0.0004		1.4314		-1.0724		-1.4151		-0.0000		-0.0000		45.3300		-0.0026		43.0408
4.5430		-0.0013		0.0000		-0.0004		1.4314		-1.0724		-1.4151		-0.0000		-0.0000		45.4300		-0.0026		43.0608
4.5430		-0.0013		0.0000		-0.0004		1.4326		-1.0724		-1.4151		-0.0000		-0.0000		45.4300		-0.0026		43.0808
4.5530		-0.0011		0.0000		-0.0004		1.4338		-1.0724		-1.4151		-0.0000		-0.0000		45.5300		-0.0022		43.1008
4.5530		-0.0011		0.0000		-0.0004		1.4338		-1.0724		-1.4151		-0.0000		-0.0000		45.5300		-0.0022		43.1208
4.5630		-0.0008		0.0000		-0.0004		1.4350		-1.0724		-1.4151		-0.0000		-0.0000		45.6300		-0.0016		43.1408
4.5630		-0.0008		0.0000		-0.0004		1.4350		-1.0824		-1.4151		-0.0000		-0.0000		45.6300		-0.0016		43.1608
4.5740		-0.0005		0.0000		-0.0004		1.4362		-1.0824		-1.4151		-0.0000		-0.0000		45.7400		-0.0010		43.1808
4.5740		-0.0005		0.0000		-0.0004		1.4362		-1.0824		-1.4151		-0.0000		-0.0000		45.7400		-0.0010		43.2008
4.5850		-0.0004		0.0000		-0.0004		1.4374		-1.0824		-1.4251		-0.0000		-0.0000		45.8500		-0.0008		43.2208
4.5850		-0.0004		0.0000		-0.0004		1.4374		-1.0824		-1.4251		-0.0000		-0.0000		45.8500		-0.0008		43.2408
4.5950		-0.0002		0.0000		-0.0004		1.4386		-1.0824		-1.4251		-0.0000		-0.0000		45.9500		-0.0004		43.2608
4.5950		-0.0002		0.0000		-0.0004		1.4386		-1.0824		-1.4251		-0.0000		-0.0000		45.9500		-0.0004		43.2808
4.6050		0.0000		-0.0002		-0.0004		1.4399		-1.0824		-1.4251		-0.0000		-0.0000		46.0500		0.0000		43.3008
4.6050		0.0000		-0.0002		-0.0004		1.4399		-1.0824		-1.4251		-0.0000		-0.0000		46.0500		0.0000		43.3208
4.6150		0.0000		-0.0002		-0.0004		1.4411		-1.0824		-1.4251		-0.0000		-0.0000		46.1500		0.0000		43.3408
4.6150		0.0000		-0.0002		-0.0004		1.4423		-1.0824		-1.4251		-0.0000		-0.0000		46.1500		0.0000		43.3608
4.6260		0.0002		-0.0002		-0.0004		1.4423		-1.0824		-1.4251		-0.0000		-0.0000		46.2600		0.0004		43.3808
4.6260		0.0002		-0.0002		-0.0004		1.4435		-1.0824		-1.4251		-0.0000		-0.0000		46.2600		0.0004		43.4008
4.6360		0.0002		-0.0004		-0.0004		1.4435		-1.0824		-1.4251		-0.0000		-0.0000		46.3600		0.0004		43.4208
4.6360		0.0002		-0.0004		-0.0004		1.4447		-1.0824		-1.4251		-0.0000		-0.0000		46.3600		0.0004		43.4408
4.6460		0.0001		-0.0004		-0.0004		1.4447		-1.0824		-1.4251		-0.0000		-0.0000		46.4600		0.0002		43.4608
4.6460		0.0001		-0.0004		-0.0004		1.4459		-1.0824		-1.4251		-0.0000		-0.0000		46.4600		0.0002		43.4808
4.6560		-0.0002		-0.0004		-0.0004		1.4459		-1.0824		-1.4351		-0.0000		-0.0000		46.5600		-0.0004		43.5008
4.6560		-0.0002		-0.0004		-0.0004		1.4471		-1.0924		-1.4351		-0.0000		-0.0000		46.5600		-0.0004		43.5208
4.6660		-0.0005		-0.0002		-0.0004		1.4483		-1.0924		-1.4351		-0.0000		-0.0000		46.6600		-0.0010		43.5408
4.6660		-0.0005		-0.0002		-0.0004		1.4483		-1.0924		-1.4351		-0.0000		-0.0000		46.6600		-0.0010		43.5608
4.6770		-0.0009		-0.0002		-0.0004		1.4496		-1.0924		-1.4351		-0.0000		-0.0000		46.7700		-0.0018		43.5808
4.6770		-0.0009		-0.0002		-0.0004		1.4496		-1.0924		-1.4351		-0.0000		-0.0000		46.7700		-0.0018		43.6008
4.6860		-0.0013		-0.0004		-0.0004		1.4508		-1.0924		-1.4351		-0.0000		-0.0000		46.8600		-0.0026		43.6208
4.6860		-0.0013		-0.0004		-0.0004		1.4508		-1.0924		-1.4351		-0.0000		-0.0000		46.8600		-0.0026		43.6408
4.6950		-0.0015		-0.0004		-0.0004		1.4520		-1.0924		-1.4351		-0.0000		-0.0000		46.9500		-0.0030		43.6608
4.6950		-0.0015		-0.0004		-0.0004		1.4520		-1.0924		-1.4351		-0.0000		-0.0000		46.9500		-0.0030		43.6808
4.7050		-0.0013		-0.0004		-0.0004		1.4532		-1.0924		-1.4351		-0.0000		-0.0000		47.0500		-0.0026		43.7008
4.7050		-0.0013		-0.0004		-0.0004		1.4532		-1.0924		-1.4351		-0.0000		-0.0000		47.0500		-0.0026		43.7208
4.7150		-0.0013		-0.0004		-0.0004		1.4544		-1.0924		-1.4351		-0.0000		-0.0000		47.1500		-0.0026		43.7408
4.7150		-0.0013		-0.0004		-0.0004		1.4556		-1.0924		-1.4351		-0.0000		-0.0000		47.1500		-0.0026		43.7608
4.7240		-0.0011		-0.0004		-0.0004		1.4556		-1.0924		-1.4351		-0.0000		-0.0000		47.2400		-0.0022		43.7808
4.7240		-0.0011		-0.0004		-0.0004		1.4568		-1.0924		-1.4351		-0.0000		-0.0000		47.2400		-0.0022		43.8008
4.7330		-0.0011		-0.0004		-0.0004		1.4568		-1.0924		-1.4452		-0.0000		-0.0000		47.3300		-0.0022		43.8208
4.7330		-0.0011		-0.0004		-0.0004		1.4580		-1.0924		-1.4452		-0.0000		-0.0000		47.3300		-0.0022		43.8408
4.7430		-0.0009		-0.0008		-0.0004		1.4580		-1.1024		-1.4452		-0.0000		-0.0000		47.4300		-0.0018		43.8608
4.7430		-0.0009		-0.0008		-0.0004		1.4592		-1.1024		-1.4452		-0.0000		-0.0000		47.4300		-0.0018		43.8808
4.7520		-0.0009		-0.0008		-0.0004		1.4592		-1.1024		-1.4452		-0.0000		-0.0000		47.5200		-0.0018		43.9008
4.7520		-0.0009		-0.0008		-0.0004		1.4605		-1.1024		-1.4452		-0.0000		-0.0000		47.5200		-0.0018		43.9208
4.7600		-0.0008		-0.0008		-0.0004		1.4617		-1.1024		-1.4452		-0.0000		-0.0000		47.6000		-0.0016		43.9408
4.7600		-0.0008		-0.0008		-0.0004		1.4617		-1.1024		-1.4452		-0.0000		-0.0000		47.6000		-0.0016		43.9608
4.7690		-0.0006		-0.0008		-0.0004		1.4629		-1.1024		-1.4452		-0.0000		-0.0000		47.6900		-0.0012		43.9808
4.7690		-0.0006		-0.0008		-0.0004		1.4629		-1.1024		-1.4452		-0.0000		-0.0000		47.6900		-0.0012		44.0008
4.7780		-0.0005		-0.0008		-0.0004		1.4641		-1.1024		-1.4452		-0.0000		-0.0000		47.7800		-0.0010		44.0208
4.7780		-0.0005		-0.0008		-0.0004		1.4641		-1.1024		-1.4452		-0.0000		-0.0000		47.7800		-0.0010		44.0408
4.7870		-0.0004		-0.0008		-0.0004		1.4653		-1.1024		-1.4452		-0.0000		-0.0000		47.8700		-0.0008		44.0608
4.7870		-0.0004		-0.0008		-0.0004		1.4653		-1.1024		-1.4552		-0.0000		-0.0000		47.8700		-0.0008		44.0808
4.7950		-0.0004		-0.0004		-0.0004		1.4665		-1.1024		-1.4552		-0.0000		-0.0000		47.9500		-0.0008		44.1008
4.7950		-0.0004		-0.0004		-0.0004		1.4665		-1.1024		-1.4552		-0.0000		-0.0000		47.9500		-0.0008		44.1208
4.8040		-0.0002		-0.0004		-0.0004		1.4677		-1.1024		-1.4552		-0.0000		-0.0000		48.0400		-0.0004		44.1408
4.8040		-0.0002		-0.0004		-0.0004		1.4689		-1.1024		-1.4552		-0.0000		-0.0000		48.0400		-0.0004		44.1608
4.8130		-0.0002		-0.0004		-0.0004		1.4689		-1.1024		-1.4552		-0.0000		-0.0000		48.1300		-0.0004		44.1808
4.8130		-0.0002		-0.0004		-0.0004		1.4702		-1.1024		-1.4552		-0.0000		-0.0000		48.1300		-0.0004		44.2008
4.8220		-0.0001		-0.0004		-0.0008		1.4702		-1.1124		-1.4552		-0.0000		-0.0000		48.2200		-0.0002		44.2208
4.8220		-0.0001		-0.0004		-0.0008		1.4714		-1.1124		-1.4552		-0.0000		-0.0000		48.2200		-0.0002		44.2408
4.8300		-0.0001		-0.0002		-0.0008		1.4714		-1.1124		-1.4552		-0.0000		-0.0000		48.3000		-0.0002		44.2608
4.8300		-0.0001		-0.0002		-0.0008		1.4726		-1.1124		-1.4552		-0.0000		-0.0000		48.3000		-0.0002		44.2808
4.8380		-0.0002		-0.0002		-0.0008		1.4726		-1.1124		-1.4552		-0.0000		-0.0000		48.3800		-0.0004		44.3008
4.8380		-0.0002		-0.0002		-0.0008		1.4738		-1.1124		-1.4552		-0.0000		-0.0000		48.3800		-0.0004		44.3208
4.8460		-0.0006		-0.0002		-0.0008		1.4750		-1.1124		-1.4552		-0.0000		-0.0000		48.4600		-0.0012		44.3408
4.8460		-0.0006		-0.0002		-0.0008		1.4750		-1.1124		-1.4653		-0.0000		-0.0000		48.4600		-0.0012		44.3608
